 X, Y
787616.5927,155559.2511
787528.5248,155395.2167
787547.5395,155460.2304
787569.5564,155487.236
787526.5233,155431.2243
787522.5202,155430.2241
787538.5325,155441.2264
787554.5449,155493.2373
787541.5348,155465.2314
787906.8165,156141.3731
787630.6035,155576.2547
787534.5294,155467.2318
787535.5302,155460.2304
787882.798,156114.3674
787580.5649,155490.2367
787556.5464,155447.2276
787582.5665,155545.2482
787451.4654,155332.2035
787584.568,155502.2392
787461.4731,155351.2075
787519.5179,155379.2134
787517.5163,155427.2235
787734.6838,155785.2985
787521.5194,155452.2287
787530.5263,155420.222
787715.6691,155787.2989
787861.7818,156096.3636
787768.71,155873.3169
787522.5202,155453.2289
787564.5526,155533.2457
787586.5696,155503.2394
787455.4685,155349.2071
787611.5889,155581.2557
787749.6954,155853.3127
787734.6838,155787.2989
787716.6699,155776.2966
787576.5618,155543.2478
787748.6946,155858.3138
787529.5256,155455.2293
787510.5109,155426.2232
787621.5966,155553.2499
787530.5263,155468.232
787645.6151,155647.2695
787545.5379,155500.2387
787596.5773,155518.2425
787861.7818,156097.3638
787626.6004,155584.2563
787573.5595,155512.2413
787584.568,155503.2394
787506.5078,155429.2239
787777.717,155893.3211
787541.5348,155475.2335
787864.7841,156102.3649
787572.5588,155516.2421
787764.7069,155853.3127
787756.7008,155836.3092
787463.4746,155354.2082
787513.5132,155377.213
787878.7949,156119.3685
787628.602,155586.2568
787658.6251,155662.2727
787655.6228,155647.2695
787498.5016,155415.2209
787532.5279,155419.2218
787878.7949,156098.3641
787706.6622,155773.296
787581.5657,155533.2457
787595.5765,155528.2446
787874.7918,156108.3661
787596.5773,155532.2455
787501.504,155418.2216
787531.5271,155414.2207
787709.6645,155770.2953
787603.5827,155529.2448
787511.5117,155377.213
787474.4831,155342.2056
787503.5055,155364.2103
787891.8049,156115.3676
787606.585,155585.2566
787770.7116,155878.318
787604.5834,155581.2557
787602.5819,155529.2448
787646.6159,155599.2595
787605.5842,155538.2467
787477.4854,155371.2117
787518.5171,155415.2209
787469.4793,155338.2048
787491.4962,155365.2105
787490.4955,155353.2079
787626.6004,155591.2578
787491.4962,155350.2073
787494.4986,155368.2111
787471.4808,155340.2052
787500.5032,155417.2214
787460.4723,155334.204
787618.5943,155594.2584
787471.4808,155332.2035
787469.4793,155348.2069
787496.5001,155354.2082
787619.595,155593.2582
787469.4793,155344.2061
787444.46,155333.2038
787482.4893,155360.2094
787661.6274,155664.2731
787752.6977,155870.3163
787469.4793,155364.2103
787476.4847,155344.2061
787459.4715,155331.2033
787592.5742,155533.2457
787495.4993,155379.2134
787575.5611,155513.2415
787513.5132,155401.218
787625.5997,155627.2654
787462.4739,155325.2021
787492.497,155366.2107
787603.5827,155542.2475
787883.7988,156101.3647
787511.5117,155401.218
787772.7131,155877.3177
787645.6151,155633.2666
787482.4893,155381.2138
787590.5726,155517.2423
787460.4723,155323.2017
787483.4901,155388.2153
787465.4762,155317.2004
787475.4839,155360.2094
787584.568,155515.2419
787465.4762,155360.2094
787526.5233,155401.218
787716.6699,155773.296
787827.7556,156003.3441
787618.5943,155593.2582
787618.5943,155606.261
787459.4715,155331.2033
787450.4646,155337.2046
787460.4723,155332.2035
787455.4685,155318.2006
787507.5086,155426.2232
787619.595,155591.2578
787711.666,155773.296
787473.4823,155354.2082
787872.7903,156094.3632
787883.7988,156100.3645
787457.47,155321.2012
787598.5788,155538.2467
787592.5742,155558.2509
787467.4777,155374.2123
787662.6282,155675.2754
787689.649,155733.2876
787479.487,155342.2056
787507.5086,155375.2126
787521.5194,155402.2182
787634.6066,155602.2601
787654.622,155634.2668
787489.4947,155384.2144
787656.6236,155701.2809
787507.5086,155394.2165
787650.619,155623.2645
787645.6151,155624.2647
787646.6159,155620.2639
787479.487,155338.2048
787485.4916,155395.2167
787884.7995,156093.363
787563.5518,155517.2423
787511.5117,155391.2159
787498.5016,155405.2188
787650.619,155604.2605
787658.6251,155640.2681
787650.619,155625.2649
787485.4916,155385.2147
787629.6027,155629.2658
787631.6043,155611.262
787702.6591,155762.2936
787625.5997,155598.2593
787648.6174,155622.2643
787475.4839,155327.2025
787638.6097,155641.2683
787667.6321,155664.2731
787505.507,155382.214
787644.6143,155624.2647
787580.5649,155526.2442
787635.6074,155593.2582
787631.6043,155617.2633
787475.4839,155374.2123
787662.6282,155678.276
787646.6159,155665.2733
787504.5063,155393.2163
787493.4978,155404.2186
787621.5966,155602.2601
787505.507,155398.2174
787488.4939,155382.214
787499.5024,155404.2186
787475.4839,155328.2027
787640.6112,155636.2672
787500.5032,155371.2117
787704.6606,155750.2911
787497.5009,155367.2109
787477.4854,155380.2136
787703.6599,155766.2945
787572.5588,155520.2429
787632.6051,155636.2672
787499.5024,155398.2174
787492.497,155396.217
787629.6027,155615.2628
787482.4893,155336.2044
787653.6213,155622.2643
787697.6552,155738.2886
787704.6606,155757.2926
787859.7802,156057.3555
787636.6081,155605.2607
787801.7355,155950.333
787701.6583,155743.2897
787636.6081,155647.2695
787637.6089,155634.2668
787636.6081,155643.2687
787634.6066,155643.2687
787692.6514,155743.2897
787654.622,155626.2651
787654.622,155675.2754
787692.6514,155735.288
787496.5001,155400.2178
787637.6089,155637.2675
787565.5534,155523.2436
787494.4986,155387.2151
787648.6174,155679.2763
787504.5063,155397.2172
787651.6197,155629.2658
787492.497,155386.2149
787478.4862,155381.2138
787646.6159,155622.2643
787622.5973,155605.2607
787476.4847,155373.2121
787505.507,155392.2161
787784.7224,155916.3259
787492.497,155398.2174
787766.7085,155861.3144
787494.4986,155405.2188
787476.4847,155330.2031
787552.5433,155432.2245
787641.612,155628.2656
787489.4947,155403.2184
787635.6074,155626.2651
787633.6058,155607.2612
787635.6074,155630.266
787631.6043,155637.2675
787487.4932,155347.2067
787506.5078,155381.2138
787631.6043,155605.2607
787509.5101,155383.2142
787686.6467,155731.2872
787639.6105,155594.2584
787792.7285,155973.3379
787667.6321,155693.2792
787675.6382,155719.2846
787690.6498,155717.2842
787683.6444,155704.2815
787673.6367,155727.2863
787703.6599,155748.2907
787675.6382,155705.2817
787683.6444,155698.2802
787563.5518,155522.2434
787792.7285,155973.3379
787633.6058,155612.2622
787671.6352,155718.2844
787885.8003,156096.3636
787687.6475,155710.2828
787644.6143,155600.2597
787652.6205,155684.2773
787741.6892,155801.3018
787649.6182,155618.2635
787681.6429,155728.2865
787671.6352,155691.2788
787678.6406,155743.2897
787673.6367,155686.2777
787562.551,155524.2438
787673.6367,155692.279
787680.6421,155737.2884
787663.629,155690.2786
787647.6166,155605.2607
787677.6398,155684.2773
787667.6321,155720.2848
787674.6375,155736.2882
787674.6375,155706.2819
787654.622,155695.2796
787674.6375,155718.2844
787649.6182,155619.2637
787673.6367,155725.2859
787686.6467,155697.28
787669.6336,155711.283
787673.6367,155683.2771
787813.7447,155976.3385
787646.6159,155601.2599
787683.6444,155720.2848
787680.6421,155741.2892
787672.6359,155717.2842
787692.6514,155758.2928
787729.6799,155782.2978
787687.6475,155758.2928
787686.6467,155741.2892
787667.6321,155683.2771
787850.7733,156038.3515
787679.6413,155713.2834
787680.6421,155717.2842
787643.6135,155613.2624
787840.7656,156023.3483
787648.6174,155613.2624
787571.558,155539.2469
787689.649,155758.2928
787684.6452,155731.2872
787684.6452,155749.2909
787667.6321,155695.2796
787699.6568,155765.2943
787754.6992,155834.3087
787640.6112,155596.2589
787669.6336,155697.28
787839.7648,156057.3555
787568.5557,155529.2448
787680.6421,155719.2846
787625.5997,155617.2633
787689.649,155758.2928
787660.6267,155698.2802
787684.6452,155705.2817
787646.6159,155612.2622
787661.6274,155689.2784
787669.6336,155699.2804
787639.6105,155599.2595
787684.6452,155727.2863
787672.6359,155673.275
787695.6537,155756.2924
787635.6074,155611.262
787674.6375,155730.2869
787674.6375,155693.2792
787642.6128,155600.2597
787641.612,155600.2597
787563.5518,155528.2446
787673.6367,155680.2765
787677.6398,155716.284
787676.639,155735.288
787695.6537,155730.2869
787760.7038,155852.3125
787652.6205,155686.2777
787641.612,155602.2601
787642.6128,155599.2595
787644.6143,155604.2605
787684.6452,155723.2855
787660.6267,155706.2819
787665.6305,155715.2838
787705.6614,155743.2897
787807.7401,155999.3433
787659.6259,155689.2784
787692.6514,155724.2857
787697.6552,155760.2932
787664.6298,155715.2838
787753.6984,155829.3077
787821.7509,155995.3425
787710.6653,155786.2987
787710.6653,155785.2985
787763.7062,155858.3138
787753.6984,155829.3077
787692.6514,155716.284
787880.7965,156087.3617
787743.6907,155851.3123
787848.7718,156040.3519
787567.5549,155536.2463
787776.7162,155897.3219
787744.6915,155807.3031
787774.7146,155888.32
787855.7772,156050.354
787794.7301,155937.3303
787681.6429,155690.2786
787712.6668,155757.2926
787831.7586,156013.3462
787739.6876,155836.3092
787726.6776,155774.2962
787766.7085,155911.3249
787712.6668,155756.2924
787766.7085,155912.3251
787721.6737,155770.2953
787704.6606,155743.2897
787908.8181,156143.3735
787829.7571,156009.3454
787882.798,156091.3626
787766.7085,155863.3148
787881.7972,156091.3626
787887.8019,156103.3651
787765.7077,155862.3146
787835.7617,156012.346
787816.7471,155981.3395
787874.7918,156078.3599
787874.7918,156079.3601
787888.8026,156102.3649
787777.717,155901.3228
787751.6969,155875.3173
787882.798,156096.3636
787826.7548,156003.3441
787749.6954,155820.3058
787719.6722,155766.2945
787881.7972,156094.3632
787890.8042,156106.3657
787818.7486,155980.3393
787753.6984,155874.3171
787816.7471,155981.3395
787798.7332,155944.3318
